conc_nM,cytotox_perc,error_max,error
0.000503056,5.262260352,6.86576415,1.603503798
0.001995567,5.420495464,7.16977234,1.749276876
0.008060601,5.433121479,7.03662528,1.603503801
0.031982278,6.174448883,7.92372576,1.749276877
0.131131566,47.4408545,55.1668274,7.7259729
0.521395698,54.01310482,61.8848508,7.87174598
2.111065374,60.58551911,65.8333497,5.24783059
8.389427308,65.7000387,71.8225078,6.1224691
33.90136364,66.87884929,73.5844106,6.70556131
132.0457332,66.59960121,74.3255741,7.72597289
532.3241717,61.21862353,68.7988233,7.58019977
